ID,RUN,Trial ,PostRT,PreRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,Order_Session,PreITI1duration,PostITI1duration
94719,1,RUN1-32,270,387,Source hit,1,1,1,Stimuli\springroll.jpg,Right,Food,1,2000,4000
94719,1,RUN1-33,252,270,Source hit,1,1,1,Stimuli\espressomachine.jpg,Left,Kitchen,1,4000,6000
94719,1,RUN1-34,322,252,Source hit,1,1,1,Stimuli\horsefigurine.jpg,Left,Decorations & Gift,1,6000,4000
94719,1,RUN1-35,727,322,Source miss,3,0,1,Stimuli\sravelmug.jpg,Left,Kitchen,1,4000,6000
94719,1,RUN1-36,538,727,Source miss,3,0,1,Stimuli\rearviewmirror.jpg,Left,Vehicle,1,6000,4000
94719,1,RUN1-37,327,538,Source miss,3,0,1,Stimuli\rowboat.jpg,Right,Vehicle,1,4000,6000
94719,1,RUN1-38,332,327,Source hit,1,1,1,Stimuli\glassescase.jpg,Left,Clothing,1,6000,6000
94719,1,RUN1-39,237,332,miss,4,0,0,Stimuli\audiocablesplitter.jpg,Left,Electronics,1,6000,4000
94719,1,RUN1-40,326,237,miss,4,0,0,Stimuli\musicsheet.jpg,Left,Musical instrument,1,4000,6000
94719,1,RUN1-41,393,326,miss,4,0,0,Stimuli\guitarcase.jpg,Left,Musical instrument,1,6000,2000
94719,1,RUN1-42,360,393,Source hit,1,1,1,Stimuli\aceofdiamond.jpg,Left,Game & entertainment,1,2000,4000
94719,1,RUN1-43,302,360,Source miss,3,0,1,Stimuli\payphone.jpg,Left,Electronics,1,4000,6000
94719,1,RUN1-44,604,302,Source hit,1,1,1,Stimuli\poloshirt.jpg,Left,Clothing,1,6000,2000
94719,1,RUN1-45,0,604,Source hit,1,1,1,Stimuli\plasticgallon.jpg,Left,Household article,1,2000,6000
94719,1,RUN1-46,620,0,Source hit,1,1,1,Stimuli\mushroom01.jpg,Left,Food,1,6000,2000
94719,1,RUN1-47,608,620,Source missatribution,2,0,1,Stimuli\gift01.jpg,Left,Decorations & Gift,1,2000,2000
94719,1,RUN1-48,0,608,Source miss,3,0,1,Stimuli\bowlingball.jpg,Right,Outdoor & sport,1,2000,2000
94719,2,RUN2-2,371,278,Source hit,1,1,1,Stimuli\exercisebench.jpg,Left,Outdoor & sport,4,6000,4000
94719,2,RUN2-3,223,371,Source hit,1,1,1,Stimuli\shumbtack02a.jpg,Right,Stationary,4,4000,4000
94719,2,RUN2-4,299,223,Source miss,3,0,1,Stimuli\crosscountryski.jpg,Left,Outdoor & sport,4,4000,2000
94719,2,RUN2-5,174,299,Source hit,1,1,1,Stimuli\jewelrybox01b.jpg,Left,Decorations & Gift,4,2000,2000
94719,2,RUN2-6,231,174,Source miss,3,0,1,Stimuli\recorder04.jpg,Right,Musical instrument,4,2000,4000
94719,2,RUN2-7,220,231,miss,4,0,0,Stimuli\sshirt.jpg,Left,Clothing,4,4000,2000
94719,2,RUN2-8,250,220,Source hit,1,1,1,Stimuli\petcarrier.jpg,Right,Household article,4,2000,4000
94719,2,RUN2-9,216,250,Source miss,3,0,1,Stimuli\battery02b.jpg,Left,Electronics,4,4000,4000
94719,2,RUN2-10,205,216,Source miss,3,0,1,Stimuli\wire.jpg,Left,Electronics,4,4000,6000
94719,2,RUN2-11,245,205,Source miss,3,0,1,Stimuli\pitcher02b.jpg,Left,Kitchen,4,6000,6000
94719,2,RUN2-12,856,245,miss,4,0,0,Stimuli\doublebass.jpg,Left,Musical instrument,4,6000,2000
94719,2,RUN2-13,308,856,Source hit,1,1,1,Stimuli\cola.jpg,Right,Food,4,2000,4000
94719,2,RUN2-14,668,308,Source hit,1,1,1,Stimuli\chessboard.jpg,Left,Game & entertainment,4,4000,2000
94719,2,RUN2-15,259,668,miss,4,0,0,Stimuli\bracelet04.jpg,Right,Decorations & Gift,4,2000,4000
94719,2,RUN2-16,503,259,miss,4,0,0,Stimuli\fountainpen.jpg,Left,Stationary,4,4000,2000
94719,2,RUN2-17,315,503,miss,4,0,0,Stimuli\belt02a.jpg,Right,Clothing,4,2000,2000
94719,2,RUN2-18,369,315,Source miss,3,0,1,Stimuli\sricornhat.jpg,Right,Clothing,4,2000,4000
94719,2,RUN2-19,435,369,Source hit,1,1,1,Stimuli\saxisign.jpg,Left,Vehicle,4,4000,4000
94719,2,RUN2-20,371,435,Source hit,1,1,1,Stimuli\scrubbingbrush05b.jpg,Left,Household article,4,4000,2000
94719,2,RUN2-21,290,371,Source miss,3,0,1,Stimuli\mug05.jpg,Right,Kitchen,4,2000,4000
94719,2,RUN2-22,553,290,Source hit,1,1,1,Stimuli\shread02.jpg,Left,Household article,4,4000,6000
94719,2,RUN2-23,254,553,Source hit,1,1,1,Stimuli\strawberry.jpg,Left,Food,4,6000,6000
94719,2,RUN2-24,305,254,Source hit,1,1,1,Stimuli\srophy01.jpg,Left,Decorations & Gift,4,6000,4000
94719,2,RUN2-25,271,305,Source hit,1,1,1,Stimuli\cigarette.jpg,Right,Game & entertainment,4,4000,2000
94719,2,RUN2-26,210,271,Source hit,1,1,1,Stimuli\cakeplatter.jpg,Left,Kitchen,4,2000,6000
94719,2,RUN2-27,226,210,Source hit,1,1,1,Stimuli\srafficlight.jpg,Left,Building infrastructure,4,6000,4000
94719,2,RUN2-28,479,226,Source hit,1,1,1,Stimuli\windturbine.jpg,Left,Building infrastructure,4,4000,6000
94719,2,RUN2-29,277,479,Source hit,1,1,1,Stimuli\wallet02a.jpg,Left,Clothing,4,6000,6000
94719,2,RUN2-30,219,277,Source hit,1,1,1,Stimuli\barbedwire01.jpg,Right,Building infrastructure,4,6000,4000
94719,2,RUN2-31,402,219,Source hit,1,1,1,Stimuli\worldmap.jpg,Left,Stationary,4,4000,4000
94719,2,RUN2-32,213,402,Source hit,1,1,1,Stimuli\coconut.jpg,Right,Food,4,4000,6000
94719,2,RUN2-33,304,213,Source hit,1,1,1,Stimuli\expansioncard.jpg,Right,Electronics,4,6000,6000
94719,2,RUN2-34,600,304,miss,4,0,0,Stimuli\footballhelmet.jpg,Right,Outdoor & sport,4,6000,2000
94719,2,RUN2-35,688,600,Source hit,1,1,1,Stimuli\bicycle.jpg,Right,Outdoor & sport,4,2000,2000
94719,2,RUN2-36,248,688,Source hit,1,1,1,Stimuli\schoolbus.jpg,Right,Vehicle,4,2000,6000
94719,2,RUN2-37,665,248,Source hit,1,1,1,Stimuli\cornet.jpg,Left,Musical instrument,4,6000,6000
94719,2,RUN2-38,400,665,Source hit,1,1,1,Stimuli\mango01.jpg,Left,Food,4,6000,2000
94719,2,RUN2-39,263,400,Source hit,1,1,1,Stimuli\cigar.jpg,Right,Game & entertainment,4,2000,4000
94719,2,RUN2-40,254,263,Source hit,1,1,1,Stimuli\chessknight03a.jpg,Left,Game & entertainment,4,4000,4000
94719,2,RUN2-41,243,254,Source hit,1,1,1,Stimuli\binder03b.jpg,Right,Stationary,4,4000,6000
94719,2,RUN2-42,409,243,Source hit,1,1,1,Stimuli\electricdrumset.jpg,Right,Musical instrument,4,6000,2000
94719,2,RUN2-43,516,409,Source miss,3,0,1,Stimuli\fence02.jpg,Right,Building infrastructure,4,2000,6000
94719,2,RUN2-44,474,516,Source hit,1,1,1,Stimuli\windshieldwasherfluid.jpg,Right,Household article,4,6000,6000
94719,2,RUN2-45,515,474,Source hit,1,1,1,Stimuli\cherrypicker.jpg,Left,Vehicle,4,6000,2000
94719,2,RUN2-46,402,515,Source hit,1,1,1,Stimuli\jesusstatue.jpg,Right,Decorations & Gift,4,2000,2000
94719,2,RUN2-47,271,402,miss,4,0,0,Stimuli\mug01.jpg,Right,Kitchen,4,2000,6000
94719,2,RUN2-48,696,271,Source hit,1,1,1,Stimuli\electricoutlet.jpg,Right,Electronics,4,6000,2000
94719,3,RUN3-2,227,301,Source hit,1,1,1,Stimuli\linedpaper.jpg,Right,Stationary,2,4000,6000
94719,3,RUN3-3,232,227,Source hit,1,1,1,Stimuli\Saillight.jpg,Right,Vehicle,2,6000,6000
94719,3,RUN3-4,275,232,Source hit,1,1,1,Stimuli\plate01b.jpg,Right,Kitchen,2,6000,6000
94719,3,RUN3-5,270,275,Source hit,1,1,1,Stimuli\windshieldwiper02.jpg,Left,Vehicle,2,6000,2000
94719,3,RUN3-6,220,270,Source hit,1,1,1,Stimuli\soccercleat01.jpg,Left,Clothing,2,2000,6000
