Index,ID,RUN,Trial,PreRT,PostRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,RET_RT,Order_Session,PreITI1duration,PostITI1duration
3508,52342,1,RUN1-31,399,387,miss,4,0,0,Stimuli\horsefigurine.jpg,Left,Decorations & Gift,1143,2,2000,4000
3509,52342,1,RUN1-32,387,516,miss,4,0,0,Stimuli\racquetballracket.jpg,Right,Outdoor & sport,1246,2,4000,2000
3510,52342,1,RUN1-33,516,356,Source hit,1,1,1,Stimuli\bridge.jpg,Right,Building infrastructure,1250,2,2000,4000
3511,52342,1,RUN1-34,356,711,Source miss,3,0,1,Stimuli\airhockeytable.jpg,Right,Game & entertainment,1626,2,4000,4000
3512,52342,1,RUN1-35,711,343,Source hit,1,1,1,Stimuli\fireextinguisher01.jpg,Right,Household article,1088,2,4000,4000
3513,52342,1,RUN1-36,343,0,Source hit,1,1,1,Stimuli\rearviewmirror.jpg,Left,Vehicle,1316,2,4000,4000
3514,52342,1,RUN1-37,0,265,No response,0,0,0,Stimuli\icebucket.jpg,Right,Kitchen,0,2,4000,6000
3515,52342,1,RUN1-38,265,359,Source missatribution,2,0,1,Stimuli\8ball.jpg,Left,Game & entertainment,1737,2,6000,2000
3516,52342,1,RUN1-39,359,0,Source hit,1,1,1,Stimuli\mushroom01.jpg,Left,Food,1774,2,2000,2000
3517,52342,1,RUN1-40,0,519,Source hit,1,1,1,Stimuli\espressomachine.jpg,Left,Kitchen,976,2,2000,6000
3518,52342,1,RUN1-41,519,327,miss,4,0,0,Stimuli\bowlingball.jpg,Right,Outdoor & sport,1176,2,6000,2000
3519,52342,1,RUN1-42,327,236,miss,4,0,0,Stimuli\aceofdiamond.jpg,Left,Game & entertainment,1701,2,2000,4000
3520,52342,1,RUN1-43,236,0,Source hit,1,1,1,Stimuli\bassguitar.jpg,Right,Musical instrument,2264,2,4000,2000
3521,52342,1,RUN1-44,0,589,Source hit,1,1,1,Stimuli\giftbow02b.jpg,Right,Decorations & Gift,1864,2,2000,4000
3522,52342,1,RUN1-45,589,406,No response,0,0,0,Stimuli\flyswatter.jpg,Left,Household article,0,2,4000,2000
3523,52342,1,RUN1-46,406,350,miss,4,0,0,Stimuli\portapotty.jpg,Left,Building infrastructure,1520,2,2000,4000
3524,52342,1,RUN1-47,350,415,Source hit,1,1,1,Stimuli\saxophone.jpg,Right,Musical instrument,1909,2,4000,4000
3525,52342,1,RUN1-48,415,0,Source hit,1,1,1,Stimuli\partyhat.jpg,Right,Decorations & Gift,1214,2,4000,2000
3526,52342,2,RUN2-2,0,899,Source hit,1,1,1,Stimuli\barbedwire01.jpg,Right,Building infrastructure,2071,4,6000,4000
3527,52342,2,RUN2-3,899,549,Source hit,1,1,1,Stimuli\cherrypicker.jpg,Left,Vehicle,1172,4,4000,2000
